khabarID	tf_idf	agency_match	time_diff	most_similar_id	most_similar_row
182253	0.513671783	1	62990060	100626	5
218943	0.158452792	0	13916400	157044	146
218949	0.295947395	0	62726720	100907	32
218951	0.209853915	0	26887960	139822	120
182260	0.323064542	0	9882600	191642	164
182261	0.886567233	0	780	218951	206
193685	0.254444002	0	2100	218949	205
193696	0.169198622	0	62896160	100793	21
182277	1	0	7680	218938	202
193705	0.293891301	0	14448480	180004	143
193704	0.208660339	0	18300	218886	193
218992	0.239955244	1	31033900	142932	102
193724	0.281387295	0	63011900	100599	1
182298	0.205617162	1	35319160	127026	47
182311	0.237557106	0	11822760	170253	154
193740	0.812425749	0	16380	182261	208
193731	0.839997384	0	22980	182242	198
182317	0.326285612	0	20626980	164940	123
193764	0.254904764	1	12960	193705	212
182332	0.689857989	0	13260	218992	214
182335	0.280871917	0	11830380	170253	154
182338	0.14544114	0	29963740	145064	113
219024	0.214237244	1	61944500	82862	40
193781	0.233985882	0	540	219024	225
182371	0.304005306	1	31439320	133005	98
182376	0.241582679	1	31685380	132556	91
219064	0.143808814	0	31244680	133324	101
182397	0.372143238	1	39420	182335	223
219087	0.252011647	0	35286580	127126	62
182407	0.131562248	1	28740	182371	227
193806	0.860806234	0	12900	182376	228
219110	1	0	15300	182376	228
219119	0.292680315	0	34324120	128305	80
193811	0.186866045	0	82080	218903	195
219128	0.50097684	0	34328080	128292	79
182424	1	0	960	219128	237
182428	0.656457178	1	14879220	155797	128
219151	0.636591777	0	31621240	132740	95
182435	1	0	1680	219151	240
182436	0.193556486	0	4025160	206312	174
219091	0.213239535	1	100500	218859	192
193834	0.264035862	0	12780	182428	239
219223	0.315426182	0	6397920	167886	167
219228	0.612117791	0	62839340	100907	32
182518	0.0991826	1	3967620	172886	175
193820	0.292774464	0	3886800	206885	178
182533	0.229955987	1	35251600	127218	67
193881	0.236095686	0	16260	219228	246
182545	0.303015974	1	29243140	136583	114
182547	0.267269859	1	64800	182436	242
182554	0.33166961	0	44820	219228	246
219267	0.733023023	0	135420	182335	223
219269	0.251067699	1	81540	219151	240
182559	1	0	240	219267	254
219270	0.141436477	0	120360	182371	227
219272	0.60017772	0	137040	182332	222
182560	0.216716723	0	35424280	112220	58
182574	0.283407253	1	101580	182397	230
182579	1	0	7620	219270	257
182580	0.249184883	1	166620	182260	207
182581	0.306368192	1	14971200	155797	128
193905	0.720683364	1	34299400	115569	83
219286	0.538323003	0	35312860	127184	66
193918	0.46380713	0	63010280	81240	23
182600	0.304765062	0	61320	193820	248
193920	0.77880833	0	22200	182554	253
182602	0.128610908	1	186420	182242	198
219321	0.62797752	0	3840	182600	267
193940	0.415351291	0	17700	182580	262
193950	0.685070125	1	16980	193905	264
182630	0.156645955	0	195120	218943	204
182642	0.391374713	0	17580	219321	270
193963	0.370011809	0	8940	182630	273
219462	0.260001815	1	90660	219272	258
219473	0.447889667	0	228300	182332	222
193989	0.538751086	0	53160	182642	274
182749	0.15645108	0	260040	193705	212
182754	0.45382593	1	123300	182547	252
182777	0.28547649	1	35495260	127126	62
194099	0.238857174	0	140400	182574	260
219619	0.316388291	0	306060	193731	219
219625	0.208020335	1	212460	219228	246
182856	0.244805724	0	35617420	112073	53
219650	0.258451499	1	14853420	179850	142
194235	0.442137204	0	45060	182856	285
183058	0.472110179	1	246120	182580	262
220003	0.424955316	1	30355060	145064	113
183083	1	0	4200	220003	289
220036	0.274916839	0	277740	182545	251
183103	0.206711293	0	3360	220036	291
194315	0.251188517	0	412440	182298	216
220090	0.435704578	0	30888040	125426	106
183130	0.819137691	0	5640	220090	294
183135	0.3021272	0	185880	219473	277
183142	0.262765804	0	279420	219272	258
220158	0.52529461	0	3480	183135	296
194412	1	0	15600	183130	295
194414	1	0	11580	183142	297
183179	0.683612326	1	15600	183135	296
220333	0.437027564	0	30962740	125426	106
220414	0.111795617	0	31698280	133324	101
220423	0	1	63529340	80918	0
183314	0.282657788	0	900	220414	303
220428	0.209260026	0	35736460	127126	62
183317	0.272785412	0	15059940	179743	141
194556	0.372711833	0	368640	219269	255
183385	0.330217599	1	545460	182253	203
220530	0.794710025	0	2760	183385	309
183434	1	0	31620	220530	310
220592	0.241469862	1	258420	219625	284
220599	0.186940717	0	35784700	127159	64
194679	0.493632506	1	11595420	171851	158
183498	0.236785847	0	597960	193696	210
183520	1	0	23760	220592	312
183555	0.32340384	0	457320	219272	258
221056	0.361524021	1	289800	220090	294
183783	0.524172143	0	31177960	125426	106
221063	0.474840023	1	560580	219269	255
183789	1	0	900	221063	320
194917	0.575413407	0	18960	221056	318
194923	0.260604599	1	35559520	113481	74
183853	0.289468158	0	351360	220036	291
183879	0	0	63800060	80918	0
221153	0.225585511	1	351840	220158	298
195001	0.247473938	1	269880	194556	308
221183	0.408391818	0	798720	182260	207
183902	1	0	900	221183	328
184058	0.734849193	1	467460	183130	295
221411	0.528948392	1	31373260	144026	105
221534	0.236445236	0	11984640	171851	158
184221	0.273853226	0	15750720	179176	137
195523	0.5391151	0	279720	184058	330
222243	0.306150324	1	408300	221411	331
184819	0.253113671	0	1318800	218949	205
222323	0.119006708	0	1191540	182547	252
184882	0.543764355	0	5640	222323	337
195845	0.281499483	0	23640	222323	337
185000	0.176864349	1	1432620	182242	198
222525	0.235087056	0	1286220	182574	260
185048	1	0	1020	222525	341
185077	0.275425041	1	1334160	182547	252
185290	0.453515012	0	1135500	220158	298
185505	0.396205249	0	1426800	219473	277
223281	0.812913686	0	9720	185505	345
185817	0.413879656	0	1400040	220090	294
223730	0.457122104	0	6360	185817	347
223794	0.346533672	1	29398000	150382	118
225510	0.189480387	1	2400300	219024	225
187485	0.499142351	0	9002400	201040	166
187823	0.169704415	1	2266200	183498	315
226847	0.3940848	0	122700	187823	352
188234	0.126142208	0	1749300	222243	335
227072	0.182945504	0	36174820	129947	85
188238	0.389307683	0	720	227072	355
199164	0.221537476	0	13800	188234	354
188521	0.140189628	0	7172040	206312	174
188649	0.214546666	0	6587280	208219	188
188756	0.450546526	0	14433960	188584	157
188916	0.228582307	1	32498620	136583	114
227881	0.445835912	0	74700	188756	360
188932	0.650299492	0	33863200	125426	106
227896	0.615241214	0	1260	188932	363
199705	0.807407471	0	23460	188932	363
227933	0.147976573	0	2830500	194679	314
228357	0.074930421	0	35435800	121607	88
228711	0.301207999	1	3298920	220090	294
200400	0.580695939	1	38002060	115569	83
190250	0.492619131	0	3300120	194917	322
190549	0.698996762	0	24760920	164940	123
192634	0.259843779	1	2009760	188238	356
192657	0.565789724	1	12960	192634	372
203020	0.973524452	0	11580	192657	373
203040	1	0	27240	192634	372
232031	0.509113898	0	994020	190549	371
194399	0.13650206	1	6477460	182749	279
205980	0.136843197	1	38907800	122481	94
235789	0.22635185	0	42498620	127218	67
195555	0.874317293	0	1860	235789	379
195622	0.650076635	0	38940	205980	378
195647	0.455899768	1	15000	195622	381
195681	0.150328762	0	7427380	193724	215
236676	0.36201755	0	22590160	155811	129
201451	0.503987226	0	40723940	145064	113
201660	0.588871649	1	139080	201451	385
213558	0.360632566	1	10743640	193950	272
213566	0.641666184	0	155760	201451	385
202166	0.471892046	1	23522200	159197	148
202204	0	0	74298360	80918	0
205540	0.294781512	0	13059040	220090	294
221439	0.447634678	0	45380000	132556	91
206090	0.382495612	0	13689940	219272	258
207505	0.218439848	1	46188320	132740	95
207510	0.18997828	1	2220	207505	394
223989	0.244505632	0	46210700	132740	95
223988	0.30748917	0	46297880	132556	91
209094	0	0	78596520	80918	0
209197	0.259493822	0	15110680	220414	303
227394	0.234711686	0	15362500	220158	298
209521	0	0	78847380	80918	0
229074	0.282995513	0	15834700	183555	317
210988	0.407734772	1	16028980	183555	317
211105	0.437326292	0	31440100	164129	135
211183	0.412757362	0	16586860	219223	245
211684	0.195240194	1	31751860	155811	129
263289	0.337227608	0	13757140	190549	371
213591	0.173067722	0	17191780	221056	318
265814	0.22792844	0	18631540	182602	269
217153	0	0	82656180	80918	0
268251	0.35978819	0	15592180	190549	371
239087	0.216351099	0	19046140	221056	318
217459	0.354362607	0	14687380	203020	374
268506	0.470533704	1	85920	268251	411
217872	0.355050414	0	229500	268251	411
218157	0.242136927	0	12777120	235789	379
248067	0.338972494	0	21888160	184221	333
256080	0.250236707	1	37592020	170253	154
