fardanews_104374	fardanews_104298	0
fardanews_104374	tabnak_87430	0
fardanews_104374	tabnak_87427	0
fardanews_104374	fardanews_104310	0
fardanews_104374	fardanews_104312	0
fardanews_104374	fardanews_104327	0
fardanews_104374	tabnak_87481	0
fardanews_104374	fardanews_104350	0
fardanews_104374	fardanews_104355	0
fardanews_104374	fardanews_104359	0
fardanews_104374	fardanews_104364	0
fardanews_104378	tabnak_87270	0
fardanews_104378	fardanews_104223	0
fardanews_104378	tabnak_87281	0
fardanews_104378	tabnak_87332	0
fardanews_104378	fardanews_104271	0
fardanews_104378	tabnak_87369	0
fardanews_104378	tabnak_87379	0
fardanews_104378	tabnak_87398	0
fardanews_104378	tabnak_87405	0
fardanews_104378	fardanews_104296	0
fardanews_104378	fardanews_104298	0
fardanews_104378	tabnak_87430	0
fardanews_104378	tabnak_87427	0
fardanews_104378	fardanews_104310	0
fardanews_104378	fardanews_104312	0
fardanews_104378	fardanews_104327	0
fardanews_104378	tabnak_87481	0
fardanews_104378	fardanews_104350	0
fardanews_104378	fardanews_104355	0
fardanews_104378	fardanews_104359	0
fardanews_104378	fardanews_104364	0
fardanews_104378	fardanews_104374	0
tabnak_87502	tabnak_87270	37.5434
tabnak_87502	fardanews_104223	41.6123
tabnak_87502	tabnak_87281	46.3261
tabnak_87502	tabnak_87332	40.0108
tabnak_87502	fardanews_104271	_nan
tabnak_87502	tabnak_87369	_nan
tabnak_87502	tabnak_87379	44.3457
tabnak_87502	tabnak_87398	44.2804
tabnak_87502	tabnak_87405	51.4487
tabnak_87502	fardanews_104296	52.4109
tabnak_87502	fardanews_104298	_nan
tabnak_87502	tabnak_87430	_nan
tabnak_87502	tabnak_87427	49.0396
tabnak_87502	fardanews_104310	_nan
tabnak_87502	fardanews_104312	49.1135
tabnak_87502	fardanews_104327	_nan
tabnak_87502	tabnak_87481	51.6121
tabnak_87502	fardanews_104350	53.947
tabnak_87502	fardanews_104355	_nan
tabnak_87502	fardanews_104359	_nan
tabnak_87502	fardanews_104364	_nan
tabnak_87502	fardanews_104374	_nan
tabnak_87502	fardanews_104378	_nan
fardanews_104380	tabnak_87270	0
fardanews_104380	fardanews_104223	0
fardanews_104380	tabnak_87281	0
fardanews_104380	tabnak_87332	0
fardanews_104380	fardanews_104271	0
fardanews_104380	tabnak_87369	0
fardanews_104380	tabnak_87379	0
fardanews_104380	tabnak_87398	0
fardanews_104380	tabnak_87405	0
fardanews_104380	fardanews_104296	0
fardanews_104380	fardanews_104298	0
fardanews_104380	tabnak_87430	0
fardanews_104380	tabnak_87427	0
fardanews_104380	fardanews_104310	0
fardanews_104380	fardanews_104312	0
fardanews_104380	fardanews_104327	0
fardanews_104380	tabnak_87481	0
fardanews_104380	fardanews_104350	0
fardanews_104380	fardanews_104355	0
fardanews_104380	fardanews_104359	0
fardanews_104380	fardanews_104364	0
fardanews_104380	fardanews_104374	0
fardanews_104380	fardanews_104378	0
fardanews_104380	tabnak_87502	0
tabnak_87522	tabnak_87270	0
tabnak_87522	fardanews_104223	0
tabnak_87522	tabnak_87281	0
tabnak_87522	tabnak_87332	0
tabnak_87522	fardanews_104271	0
tabnak_87522	tabnak_87369	0
tabnak_87522	tabnak_87379	0
tabnak_87522	tabnak_87398	0
