agency,id,tag,TF.IDF,most_similar_id,most_similar_agency,KL,SCS,WMD,time_diff,KhabarGozaryMatch,NE,KeyWordOverLap(0-25),,c-comment
Fardanews,162400,old,0.580010208,188618,Tabnak, _nan,0.76389135,2.531827746,1218600,0,0.613440646,11,,5
Khabaronline,174433,new,0.176267968,163115,Khabaronline,50.9673,0.421508721,3.958952238,5459460,0,0.630299157,1,,26
Tabnak,191927,old,0.34619213,155267,Fardanews,0,0.53385012,3.414136394,5434020,0,0.53412086,3,,0
Khabaronline,174446,new,0.582292832,174206,Khabaronline,39.8887,0.765016371,2.239506248,126900,1,0.387840577,8,,248
Fardanews,162514,old,0.397132909,162314,Fardanews,52.1526,0.594227812,3.220960585,140940,1,0.396629668,7,,15
Fardanews,162515,old,0.309154135,191437,Tabnak, _nan,0.521329306,3.336456632,168300,0,0.47016834,5,,1
Tabnak,191934,old,0.901445479,162514,Fardanews,0,0.961238293,0.412249413,2040,0,1,22,,0
Tabnak,191959,old,0.952099727,191934,Tabnak,0,0.957844386,0.681478305,2820,1,1,20,,0
Tabnak,191964,old,1,162515,Fardanews,0,0.999097565,0,5280,0,1,25,,0
Khabaronline,174465,new,0.504399282,191964,Tabnak, _nan,0.717551161,2.532276435,1440,0,0.470850003,8,,521
Khabaronline,175108,new,0.207238025,166447,Khabaronline,36.7518,0.547863957,3.550461821,4177020,0,0.482217529,3,,159
Fardanews,163005,old,0.923631872,175108,Khabaronline,38.1842,0.943675462,0.257676654,5220,0,1,20,,2
Tabnak,192814,old,1,163005,Fardanews,0,0.999800494,0,9480,0,1,25,,0
Fardanews,163057,old,1,163005,Fardanews,51.4247,0.769015845,0.924411014,46200,1,1,25,,6
Tabnak,192888,old,1,192814,Tabnak,0,0.998204285,0,46980,0,1,25,,0
Fardanews,163088,new,0.298544,163005,Fardanews,53.1518,0.657100821,3.175763579,57660,1,0.517946068,5,,19
Tabnak,192969,old,1,163088,Fardanews,0,0.997210964,0.038323202,13140,0,1,25,,0
