agnecy,id,tag,tf_idf,most_similar_id,most_similar_agency,KLComment,SCS,WMD,time_diff,agency_match
tabnak,105417,New,0.667886391,104271,fardaNews,0,0.706732943,3.294581312,10150420,0
fardaNews,113712,New,0.215447978,96175,tabnak,0,0.57190414,3.838587315,4342140,0
tabnak,105517,New,0.02875255,87931,tabnak,0,0.971268027,0.535403213,9796600,1
tabnak,105664,New,0.304635933,104653,fardaNews,0,0.532011559,3.828041868,9847120,0
tabnak,105853,New,0.169333619,105228,fardaNews,0,0.568044368,3.732687558,9475420,0
fardaNews,114030,Old,0.133373464,113538,fardaNews,0,0.729365432,2.453554695,345780,1
tabnak,106172,New,0.117285915,104455,fardaNews,0,0.535719719,3.858944064,10525120,0
fardaNews,115703,New,0.141983552,106172,tabnak,0,0.656187025,3.294532007,1590480,0
tabnak,109151,New,0.186392023,88763,tabnak,0,0.533229843,3.819733643,11392840,1
fardaNews,115739,Old,0.397303797,115703,fardaNews,0,0.807298887,2.053822184,56940,1
tabnak,109165,New,0.385181917,105329,tabnak,0,0.578654875,3.550054802,2216400,1
tabnak,109168,New,0.395943596,115739,fardaNews,0,0.66795702,3.251285722,15660,0
tabnak,121236,New,0.150532995,113553,fardaNews,0,0.322531994,4.129654577,7903620,0
