tabnak-177862	fardanews-155106	0
tabnak-177862	khabaronline-162916	0
tabnak-177862	khabaronline-162929	0
tabnak-177862	tabnak-177436	0
tabnak-177862	khabaronline-162959	0
tabnak-177862	tabnak-177460	0
tabnak-177862	fardanews-155142	0
tabnak-177862	tabnak-177524	0
tabnak-177862	khabaronline-163052	0
tabnak-177862	khabaronline-163060	0
tabnak-177862	fardanews-155177	0
tabnak-177862	tabnak-177588	0
tabnak-177862	tabnak-177586	0
tabnak-177862	fardanews-155186	0
tabnak-177862	tabnak-177629	0
tabnak-177862	khabaronline-163088	0
tabnak-177862	tabnak-177677	0
tabnak-177862	tabnak-177685	0
tabnak-177862	khabaronline-163115	0
tabnak-177862	khabaronline-163113	0
tabnak-177862	khabaronline-163123	0
tabnak-177862	khabaronline-163158	0
tabnak-177862	fardanews-155267	0
khabaronline-163251	khabaronline-162897	0
khabaronline-163251	fardanews-155106	0
khabaronline-163251	khabaronline-162916	0
khabaronline-163251	khabaronline-162929	0
khabaronline-163251	tabnak-177436	0
khabaronline-163251	khabaronline-162959	0
khabaronline-163251	tabnak-177460	0
khabaronline-163251	fardanews-155142	0
khabaronline-163251	tabnak-177524	0
khabaronline-163251	khabaronline-163052	0
khabaronline-163251	khabaronline-163060	0
khabaronline-163251	fardanews-155177	0
khabaronline-163251	tabnak-177588	0
khabaronline-163251	tabnak-177586	0
khabaronline-163251	fardanews-155186	0
khabaronline-163251	tabnak-177629	0
khabaronline-163251	khabaronline-163088	0
khabaronline-163251	tabnak-177677	0
khabaronline-163251	tabnak-177685	0
khabaronline-163251	khabaronline-163115	0
khabaronline-163251	khabaronline-163113	0
khabaronline-163251	khabaronline-163123	0
khabaronline-163251	khabaronline-163158	0
khabaronline-163251	fardanews-155267	0
khabaronline-163251	tabnak-177862	0
khabaronline-163349	khabaronline-162897	37.2353
khabaronline-163349	fardanews-155106	43.538
khabaronline-163349	khabaronline-162916	32.3891
khabaronline-163349	khabaronline-162929	27.201
khabaronline-163349	tabnak-177436	-nan
khabaronline-163349	khabaronline-162959	34.2108
khabaronline-163349	tabnak-177460	-nan
khabaronline-163349	fardanews-155142	39.6188
khabaronline-163349	tabnak-177524	40.3708
khabaronline-163349	khabaronline-163052	38.3718
khabaronline-163349	khabaronline-163060	31.7917
khabaronline-163349	fardanews-155177	32.2631
khabaronline-163349	tabnak-177588	-nan
khabaronline-163349	tabnak-177586	46.1957
khabaronline-163349	fardanews-155186	28.7069
khabaronline-163349	tabnak-177629	-nan
khabaronline-163349	khabaronline-163088	36.8417
khabaronline-163349	tabnak-177677	-nan
khabaronline-163349	tabnak-177685	38.513
khabaronline-163349	khabaronline-163115	42.6692
khabaronline-163349	khabaronline-163113	35.4735
khabaronline-163349	khabaronline-163123	26.1481
khabaronline-163349	khabaronline-163158	41.1624
khabaronline-163349	fardanews-155267	43.2577
khabaronline-163349	tabnak-177862	-nan
khabaronline-163349	khabaronline-163251	-nan
fardanews-155408	khabaronline-162897	40.3135
fardanews-155408	fardanews-155106	44.7416
fardanews-155408	khabaronline-162916	38.7617
fardanews-155408	khabaronline-162929	30.5826
fardanews-155408	tabnak-177436	-nan
fardanews-155408	khabaronline-162959	37.0942
fardanews-155408	tabnak-177460	-nan
fardanews-155408	fardanews-155142	43.2198
fardanews-155408	tabnak-177524	41.8866
fardanews-155408	khabaronline-163052	42.3785
fardanews-155408	khabaronline-163060	37.4152
fardanews-155408	fardanews-155177	37.4935
fardanews-155408	tabnak-177588	-nan
fardanews-155408	tabnak-177586	48.9931
fardanews-155408	fardanews-155186	33.5127
fardanews-155408	tabnak-177629	-nan
fardanews-155408	khabaronline-163088	40.4163
fardanews-155408	tabnak-177677	-nan
fardanews-155408	tabnak-177685	42.216
fardanews-155408	khabaronline-163115	46.7721
fardanews-155408	khabaronline-163113	39.7157
fardanews-155408	khabaronline-163123	31.6386
fardanews-155408	khabaronline-163158	45.8354
fardanews-155408	fardanews-155267	46.2154
fardanews-155408	tabnak-177862	-nan
fardanews-155408	khabaronline-163251	-nan
fardanews-155408	khabaronline-163349	39.3762
tabnak-178108	khabaronline-162897	47.6485
