122197_khabaronline,122166_khabaronline=-nan
122197_khabaronline,122168_khabaronline=43.2056
122197_khabaronline,132513_fardanews=52.3101
122197_khabaronline,122188_khabaronline=-nan
132531_fardanews,132453_fardanews=0
132531_fardanews,132454_fardanews=0
132531_fardanews,122118_khabaronline=0
132531_fardanews,122126_khabaronline=0
132531_fardanews,122137_khabaronline=0
132531_fardanews,122140_khabaronline=0
132531_fardanews,132475_fardanews=0
132531_fardanews,132477_fardanews=0
132531_fardanews,132479_fardanews=0
132531_fardanews,132481_fardanews=0
132531_fardanews,122156_khabaronline=0
132531_fardanews,132482_fardanews=0
132531_fardanews,122158_khabaronline=0
132531_fardanews,122160_khabaronline=0
132531_fardanews,132500_fardanews=0
132531_fardanews,132505_fardanews=0
132531_fardanews,122166_khabaronline=0
132531_fardanews,122168_khabaronline=0
132531_fardanews,132513_fardanews=0
132531_fardanews,122188_khabaronline=0
132531_fardanews,122197_khabaronline=0
132533_fardanews,132453_fardanews=49.7109
132533_fardanews,132454_fardanews=57.9219
132533_fardanews,122118_khabaronline=57.9219
132533_fardanews,122126_khabaronline=52.8144
132533_fardanews,122137_khabaronline=52.4502
132533_fardanews,122140_khabaronline=52.3945
132533_fardanews,132475_fardanews=57.9219
132533_fardanews,132477_fardanews=42.037
132533_fardanews,132479_fardanews=-nan
132533_fardanews,132481_fardanews=47.7177
132533_fardanews,122156_khabaronline=57.9219
132533_fardanews,132482_fardanews=-nan
132533_fardanews,122158_khabaronline=53.7361
132533_fardanews,122160_khabaronline=52.624
132533_fardanews,132500_fardanews=-nan
132533_fardanews,132505_fardanews=52.4924
132533_fardanews,122166_khabaronline=-nan
132533_fardanews,122168_khabaronline=57.9219
132533_fardanews,132513_fardanews=57.9219
132533_fardanews,122188_khabaronline=-nan
132533_fardanews,122197_khabaronline=57.9219
132533_fardanews,132531_fardanews=-nan
132534_fardanews,132453_fardanews=39.2981
132534_fardanews,132454_fardanews=53.7402
132534_fardanews,122118_khabaronline=35.1667
132534_fardanews,122126_khabaronline=54.0641
132534_fardanews,122137_khabaronline=56.6325
132534_fardanews,122140_khabaronline=43.5427
132534_fardanews,132475_fardanews=55.3712
132534_fardanews,132477_fardanews=25.3651
132534_fardanews,132479_fardanews=-nan
132534_fardanews,132481_fardanews=50.2127
132534_fardanews,122156_khabaronline=45.4751
132534_fardanews,132482_fardanews=-nan
132534_fardanews,122158_khabaronline=36.4246
132534_fardanews,122160_khabaronline=44.308
132534_fardanews,132500_fardanews=-nan
132534_fardanews,132505_fardanews=54.1283
132534_fardanews,122166_khabaronline=-nan
132534_fardanews,122168_khabaronline=41.8547
132534_fardanews,132513_fardanews=55.3796
132534_fardanews,122188_khabaronline=-nan
132534_fardanews,122197_khabaronline=40.2997
132534_fardanews,132531_fardanews=-nan
132534_fardanews,132533_fardanews=56.6325
132542_fardanews,132453_fardanews=0
132542_fardanews,132454_fardanews=0
132542_fardanews,122118_khabaronline=0
132542_fardanews,122126_khabaronline=0
132542_fardanews,122137_khabaronline=0
132542_fardanews,122140_khabaronline=0
132542_fardanews,132475_fardanews=0
132542_fardanews,132477_fardanews=0
132542_fardanews,132479_fardanews=0
132542_fardanews,132481_fardanews=0
132542_fardanews,122156_khabaronline=0
132542_fardanews,132482_fardanews=0
132542_fardanews,122158_khabaronline=0
132542_fardanews,122160_khabaronline=0
132542_fardanews,132500_fardanews=0
132542_fardanews,132505_fardanews=0
132542_fardanews,122166_khabaronline=0
132542_fardanews,122168_khabaronline=0
132542_fardanews,132513_fardanews=0
132542_fardanews,122188_khabaronline=0
132542_fardanews,122197_khabaronline=0
132542_fardanews,132531_fardanews=0
132542_fardanews,132533_fardanews=0
132542_fardanews,132534_fardanews=0
122245_khabaronline,132453_fardanews=0
122245_khabaronline,132454_fardanews=0
122245_khabaronline,122118_khabaronline=0
122245_khabaronline,122126_khabaronline=0
122245_khabaronline,122137_khabaronline=0
122245_khabaronline,122140_khabaronline=0
122245_khabaronline,132475_fardanews=0
122245_khabaronline,132477_fardanews=0
122245_khabaronline,132479_fardanews=0
122245_khabaronline,132481_fardanews=0
122245_khabaronline,122156_khabaronline=0
122245_khabaronline,132482_fardanews=0
122245_khabaronline,122158_khabaronline=0
122245_khabaronline,122160_khabaronline=0
122245_khabaronline,132500_fardanews=0
122245_khabaronline,132505_fardanews=0
122245_khabaronline,122166_khabaronline=0
122245_khabaronline,122168_khabaronline=0
122245_khabaronline,132513_fardanews=0
122245_khabaronline,122188_khabaronline=0
122245_khabaronline,122197_khabaronline=0
122245_khabaronline,132531_fardanews=0
122245_khabaronline,132533_fardanews=0
122245_khabaronline,132534_fardanews=0
122245_khabaronline,132542_fardanews=0
122265_khabaronline,132453_fardanews=53.0193
122265_khabaronline,132454_fardanews=57.5307
122265_khabaronline,122118_khabaronline=53.2496
122265_khabaronline,122126_khabaronline=57.5307
122265_khabaronline,122137_khabaronline=57.5307
122265_khabaronline,122140_khabaronline=56.5684
122265_khabaronline,132475_fardanews=57.5307
122265_khabaronline,132477_fardanews=49.1483
122265_khabaronline,132479_fardanews=-nan
122265_khabaronline,132481_fardanews=49.0745
122265_khabaronline,122156_khabaronline=48.7827
122265_khabaronline,132482_fardanews=-nan
122265_khabaronline,122158_khabaronline=53.7026
122265_khabaronline,122160_khabaronline=56.4405
122265_khabaronline,132500_fardanews=-nan
122265_khabaronline,132505_fardanews=56.0803
122265_khabaronline,122166_khabaronline=-nan
122265_khabaronline,122168_khabaronline=57.5307
122265_khabaronline,132513_fardanews=56.0443
122265_khabaronline,122188_khabaronline=-nan
122265_khabaronline,122197_khabaronline=57.5307
122265_khabaronline,132531_fardanews=-nan
122265_khabaronline,132533_fardanews=57.5307
122265_khabaronline,132534_fardanews=53.5615
122265_khabaronline,132542_fardanews=-nan
122265_khabaronline,122245_khabaronline=-nan
132597_fardanews,132453_fardanews=0
132597_fardanews,132454_fardanews=0
132597_fardanews,122118_khabaronline=0
132597_fardanews,122126_khabaronline=0
132597_fardanews,122137_khabaronline=0
132597_fardanews,122140_khabaronline=0
132597_fardanews,132475_fardanews=0
132597_fardanews,132477_fardanews=0
132597_fardanews,132479_fardanews=0
132597_fardanews,132481_fardanews=0
132597_fardanews,122156_khabaronline=0
132597_fardanews,132482_fardanews=0
132597_fardanews,122158_khabaronline=0
132597_fardanews,122160_khabaronline=0
132597_fardanews,132500_fardanews=0
132597_fardanews,132505_fardanews=0
132597_fardanews,122166_khabaronline=0
132597_fardanews,122168_khabaronline=0
132597_fardanews,132513_fardanews=0
132597_fardanews,122188_khabaronline=0
132597_fardanews,122197_khabaronline=0
132597_fardanews,132531_fardanews=0
132597_fardanews,132533_fardanews=0
132597_fardanews,132534_fardanews=0
132597_fardanews,132542_fardanews=0
132597_fardanews,122245_khabaronline=0
132597_fardanews,122265_khabaronline=0
132602_fardanews,132453_fardanews=0
132602_fardanews,132454_fardanews=0
132602_fardanews,122118_khabaronline=0
132602_fardanews,122126_khabaronline=0
