theta,true-positive,false-alarm,miss-detection,true-negative,p-miss,p-fa,,cost,0.014883721
0.156,43,18,0,43,0,0.295081967,,0.028918033,
0.157,43,18,0,43,0,0.295081967,,0.028918033,
0.158,43,18,0,43,0,0.295081967,,0.028918033,
0.159,43,18,0,43,0,0.295081967,,0.028918033,
0.16,43,18,0,43,0,0.295081967,,0.028918033,
0.161,43,18,0,43,0,0.295081967,,0.028918033,
0.162,43,18,0,43,0,0.295081967,,0.028918033,
0.163,43,18,0,43,0,0.295081967,,0.028918033,
0.164,43,18,0,43,0,0.295081967,,0.028918033,
0.165,43,18,0,43,0,0.295081967,,0.028918033,
0.166,43,18,0,43,0,0.295081967,,0.028918033,
0.167,43,18,0,43,0,0.295081967,,0.028918033,
0.168,43,18,0,43,0,0.295081967,,0.028918033,
0.169,43,18,0,43,0,0.295081967,,0.028918033,
0.17,43,18,0,43,0,0.295081967,,0.028918033,
0.171,43,18,0,43,0,0.295081967,,0.028918033,
0.172,43,18,0,43,0,0.295081967,,0.028918033,
0.173,43,18,0,43,0,0.295081967,,0.028918033,
0.174,43,18,0,43,0,0.295081967,,0.028918033,
0.175,43,18,0,43,0,0.295081967,,0.028918033,
0.176,43,18,0,43,0,0.295081967,,0.028918033,
0.177,43,18,0,43,0,0.295081967,,0.028918033,
0.178,43,18,0,43,0,0.295081967,,0.028918033,
0.179,43,18,0,43,0,0.295081967,,0.028918033,
0.18,43,18,0,43,0,0.295081967,,0.028918033,
0.181,43,18,0,43,0,0.295081967,,0.028918033,
0.182,43,18,0,43,0,0.295081967,,0.028918033,
0.183,43,18,0,43,0,0.295081967,,0.028918033,
0.184,43,18,0,43,0,0.295081967,,0.028918033,
0.185,43,18,0,43,0,0.295081967,,0.028918033,
0.186,43,18,0,43,0,0.295081967,,0.028918033,
0.187,43,18,0,43,0,0.295081967,,0.028918033,
0.188,43,18,0,43,0,0.295081967,,0.028918033,
0.189,43,18,0,43,0,0.295081967,,0.028918033,
0.19,43,18,0,43,0,0.295081967,,0.028918033,
0.191,43,18,0,43,0,0.295081967,,0.028918033,
0.192,43,18,0,43,0,0.295081967,,0.028918033,
0.193,43,18,0,43,0,0.295081967,,0.028918033,
0.194,43,18,0,43,0,0.295081967,,0.028918033,
0.195,43,18,0,43,0,0.295081967,,0.028918033,
0.196,43,18,0,43,0,0.295081967,,0.028918033,
0.197,43,18,0,43,0,0.295081967,,0.028918033,
0.198,43,18,0,43,0,0.295081967,,0.028918033,
0.199,43,18,0,43,0,0.295081967,,0.028918033,
0.2,43,18,0,43,0,0.295081967,,0.028918033,
0.201,43,18,0,43,0,0.295081967,,0.028918033,
0.202,43,18,0,43,0,0.295081967,,0.028918033,
0.203,43,18,0,43,0,0.295081967,,0.028918033,
0.204,43,18,0,43,0,0.295081967,,0.028918033,
0.205,43,18,0,43,0,0.295081967,,0.028918033,
0.206,43,18,0,43,0,0.295081967,,0.028918033,
0.207,43,18,0,43,0,0.295081967,,0.028918033,
0.208,43,18,0,43,0,0.295081967,,0.028918033,
0.209,43,18,0,43,0,0.295081967,,0.028918033,
0.21,43,18,0,43,0,0.295081967,,0.028918033,
0.211,43,18,0,43,0,0.295081967,,0.028918033,
0.212,43,18,0,43,0,0.295081967,,0.028918033,
0.213,43,18,0,43,0,0.295081967,,0.028918033,
0.214,42,18,1,43,0.023255814,0.295081967,,0.029383149,
0.215,42,17,1,44,0.023255814,0.278688525,,0.027776592,
0.216,42,17,1,44,0.023255814,0.278688525,,0.027776592,
0.217,42,17,1,44,0.023255814,0.278688525,,0.027776592,
0.218,42,17,1,44,0.023255814,0.278688525,,0.027776592,
0.219,42,17,1,44,0.023255814,0.278688525,,0.027776592,
0.22,42,17,1,44,0.023255814,0.278688525,,0.027776592,
0.221,42,17,1,44,0.023255814,0.278688525,,0.027776592,
0.222,42,17,1,44,0.023255814,0.278688525,,0.027776592,
0.223,42,17,1,44,0.023255814,0.278688525,,0.027776592,
0.224,42,17,1,44,0.023255814,0.278688525,,0.027776592,
0.225,42,17,1,44,0.023255814,0.278688525,,0.027776592,
0.226,42,17,1,44,0.023255814,0.278688525,,0.027776592,
0.227,42,17,1,44,0.023255814,0.278688525,,0.027776592,
0.228,42,17,1,44,0.023255814,0.278688525,,0.027776592,
0.229,42,17,1,44,0.023255814,0.278688525,,0.027776592,
0.23,42,17,1,44,0.023255814,0.278688525,,0.027776592,
0.231,42,17,1,44,0.023255814,0.278688525,,0.027776592,
0.232,42,17,1,44,0.023255814,0.278688525,,0.027776592,
0.233,42,17,1,44,0.023255814,0.278688525,,0.027776592,
0.234,42,17,1,44,0.023255814,0.278688525,,0.027776592,
0.235,42,17,1,44,0.023255814,0.278688525,,0.027776592,
0.236,42,17,1,44,0.023255814,0.278688525,,0.027776592,
0.237,42,17,1,44,0.023255814,0.278688525,,0.027776592,
0.238,42,17,1,44,0.023255814,0.278688525,,0.027776592,
0.239,42,17,1,44,0.023255814,0.278688525,,0.027776592,
0.24,42,17,1,44,0.023255814,0.278688525,,0.027776592,
0.241,42,17,1,44,0.023255814,0.278688525,,0.027776592,
0.242,42,17,1,44,0.023255814,0.278688525,,0.027776592,
0.243,42,17,1,44,0.023255814,0.278688525,,0.027776592,
0.244,42,17,1,44,0.023255814,0.278688525,,0.027776592,
0.245,42,17,1,44,0.023255814,0.278688525,,0.027776592,
0.246,42,17,1,44,0.023255814,0.278688525,,0.027776592,
0.247,42,17,1,44,0.023255814,0.278688525,,0.027776592,
0.248,42,17,1,44,0.023255814,0.278688525,,0.027776592,
0.249,42,17,1,44,0.023255814,0.278688525,,0.027776592,
0.25,42,17,1,44,0.023255814,0.278688525,,0.027776592,
0.251,42,17,1,44,0.023255814,0.278688525,,0.027776592,
0.252,42,17,1,44,0.023255814,0.278688525,,0.027776592,
0.253,42,17,1,44,0.023255814,0.278688525,,0.027776592,
0.254,42,17,1,44,0.023255814,0.278688525,,0.027776592,
0.255,42,17,1,44,0.023255814,0.278688525,,0.027776592,
0.256,42,17,1,44,0.023255814,0.278688525,,0.027776592,
0.257,42,17,1,44,0.023255814,0.278688525,,0.027776592,
0.258,42,17,1,44,0.023255814,0.278688525,,0.027776592,
0.259,42,17,1,44,0.023255814,0.278688525,,0.027776592,
0.26,42,17,1,44,0.023255814,0.278688525,,0.027776592,
0.261,42,17,1,44,0.023255814,0.278688525,,0.027776592,
0.262,42,17,1,44,0.023255814,0.278688525,,0.027776592,
0.263,42,17,1,44,0.023255814,0.278688525,,0.027776592,
0.264,42,17,1,44,0.023255814,0.278688525,,0.027776592,
0.265,42,17,1,44,0.023255814,0.278688525,,0.027776592,
0.266,42,17,1,44,0.023255814,0.278688525,,0.027776592,
0.267,42,17,1,44,0.023255814,0.278688525,,0.027776592,
0.268,42,17,1,44,0.023255814,0.278688525,,0.027776592,
0.269,42,17,1,44,0.023255814,0.278688525,,0.027776592,
0.27,42,17,1,44,0.023255814,0.278688525,,0.027776592,
0.271,42,17,1,44,0.023255814,0.278688525,,0.027776592,
0.272,42,17,1,44,0.023255814,0.278688525,,0.027776592,
0.273,42,16,1,45,0.023255814,0.262295082,,0.026170034,
0.274,41,16,2,45,0.046511628,0.262295082,,0.026635151,
0.275,40,16,3,45,0.069767442,0.262295082,,0.027100267,
0.276,40,15,3,46,0.069767442,0.245901639,,0.025493709,
0.277,40,15,3,46,0.069767442,0.245901639,,0.025493709,
0.278,40,15,3,46,0.069767442,0.245901639,,0.025493709,
0.279,40,15,3,46,0.069767442,0.245901639,,0.025493709,
0.28,40,15,3,46,0.069767442,0.245901639,,0.025493709,
0.281,40,15,3,46,0.069767442,0.245901639,,0.025493709,
0.282,40,15,3,46,0.069767442,0.245901639,,0.025493709,
0.283,40,15,3,46,0.069767442,0.245901639,,0.025493709,
0.284,40,15,3,46,0.069767442,0.245901639,,0.025493709,
0.285,40,15,3,46,0.069767442,0.245901639,,0.025493709,
0.286,40,15,3,46,0.069767442,0.245901639,,0.025493709,
0.287,40,15,3,46,0.069767442,0.245901639,,0.025493709,
0.288,40,15,3,46,0.069767442,0.245901639,,0.025493709,
0.289,40,15,3,46,0.069767442,0.245901639,,0.025493709,
0.29,40,15,3,46,0.069767442,0.245901639,,0.025493709,
0.291,40,15,3,46,0.069767442,0.245901639,,0.025493709,
0.292,40,15,3,46,0.069767442,0.245901639,,0.025493709,
0.293,40,15,3,46,0.069767442,0.245901639,,0.025493709,
0.294,40,15,3,46,0.069767442,0.245901639,,0.025493709,
0.295,40,15,3,46,0.069767442,0.245901639,,0.025493709,
0.296,40,15,3,46,0.069767442,0.245901639,,0.025493709,
0.297,40,15,3,46,0.069767442,0.245901639,,0.025493709,
0.298,40,15,3,46,0.069767442,0.245901639,,0.025493709,
0.299,40,15,3,46,0.069767442,0.245901639,,0.025493709,
0.3,40,15,3,46,0.069767442,0.245901639,,0.025493709,
0.301,40,15,3,46,0.069767442,0.245901639,,0.025493709,
0.302,40,15,3,46,0.069767442,0.245901639,,0.025493709,
0.303,40,15,3,46,0.069767442,0.245901639,,0.025493709,
0.304,40,15,3,46,0.069767442,0.245901639,,0.025493709,
0.305,40,15,3,46,0.069767442,0.245901639,,0.025493709,
0.306,40,15,3,46,0.069767442,0.245901639,,0.025493709,
0.307,40,15,3,46,0.069767442,0.245901639,,0.025493709,
0.308,40,15,3,46,0.069767442,0.245901639,,0.025493709,
0.309,40,15,3,46,0.069767442,0.245901639,,0.025493709,
0.31,40,14,3,47,0.069767442,0.229508197,,0.023887152,
0.311,40,14,3,47,0.069767442,0.229508197,,0.023887152,
0.312,40,14,3,47,0.069767442,0.229508197,,0.023887152,
0.313,40,14,3,47,0.069767442,0.229508197,,0.023887152,
0.314,40,14,3,47,0.069767442,0.229508197,,0.023887152,
0.315,40,14,3,47,0.069767442,0.229508197,,0.023887152,
0.316,40,14,3,47,0.069767442,0.229508197,,0.023887152,
0.317,40,14,3,47,0.069767442,0.229508197,,0.023887152,
0.318,40,14,3,47,0.069767442,0.229508197,,0.023887152,
0.319,40,14,3,47,0.069767442,0.229508197,,0.023887152,
0.32,40,14,3,47,0.069767442,0.229508197,,0.023887152,
0.321,40,14,3,47,0.069767442,0.229508197,,0.023887152,
0.322,40,14,3,47,0.069767442,0.229508197,,0.023887152,
0.323,40,14,3,47,0.069767442,0.229508197,,0.023887152,
0.324,40,13,3,48,0.069767442,0.213114754,,0.022280595,
0.325,40,13,3,48,0.069767442,0.213114754,,0.022280595,
0.326,40,13,3,48,0.069767442,0.213114754,,0.022280595,
0.327,39,13,4,48,0.093023256,0.213114754,,0.022745711,
0.328,38,13,5,48,0.11627907,0.213114754,,0.023210827,
0.329,37,13,6,48,0.139534884,0.213114754,,0.023675944,
0.33,37,13,6,48,0.139534884,0.213114754,,0.023675944,
0.331,37,13,6,48,0.139534884,0.213114754,,0.023675944,
0.332,37,13,6,48,0.139534884,0.213114754,,0.023675944,
0.333,37,13,6,48,0.139534884,0.213114754,,0.023675944,
0.334,37,13,6,48,0.139534884,0.213114754,,0.023675944,
0.335,37,13,6,48,0.139534884,0.213114754,,0.023675944,
0.336,37,13,6,48,0.139534884,0.213114754,,0.023675944,
0.337,37,13,6,48,0.139534884,0.213114754,,0.023675944,
0.338,37,13,6,48,0.139534884,0.213114754,,0.023675944,
0.339,37,13,6,48,0.139534884,0.213114754,,0.023675944,
0.34,37,13,6,48,0.139534884,0.213114754,,0.023675944,
0.341,37,13,6,48,0.139534884,0.213114754,,0.023675944,
0.342,37,13,6,48,0.139534884,0.213114754,,0.023675944,
0.343,37,13,6,48,0.139534884,0.213114754,,0.023675944,
0.344,37,13,6,48,0.139534884,0.213114754,,0.023675944,
0.345,37,13,6,48,0.139534884,0.213114754,,0.023675944,
0.346,36,13,7,48,0.162790698,0.213114754,,0.02414106,
0.347,36,13,7,48,0.162790698,0.213114754,,0.02414106,
0.348,35,13,8,48,0.186046512,0.213114754,,0.024606176,
0.349,35,12,8,49,0.186046512,0.196721311,,0.022999619,
0.35,35,12,8,49,0.186046512,0.196721311,,0.022999619,
0.351,34,12,9,49,0.209302326,0.196721311,,0.023464735,
0.352,34,12,9,49,0.209302326,0.196721311,,0.023464735,
0.353,34,12,9,49,0.209302326,0.196721311,,0.023464735,
0.354,34,12,9,49,0.209302326,0.196721311,,0.023464735,
0.355,34,12,9,49,0.209302326,0.196721311,,0.023464735,
0.356,34,12,9,49,0.209302326,0.196721311,,0.023464735,
0.357,34,12,9,49,0.209302326,0.196721311,,0.023464735,
0.358,34,12,9,49,0.209302326,0.196721311,,0.023464735,
0.359,34,12,9,49,0.209302326,0.196721311,,0.023464735,
0.36,34,12,9,49,0.209302326,0.196721311,,0.023464735,
0.361,34,12,9,49,0.209302326,0.196721311,,0.023464735,
0.362,33,12,10,49,0.23255814,0.196721311,,0.023929851,
0.363,33,12,10,49,0.23255814,0.196721311,,0.023929851,
0.364,33,12,10,49,0.23255814,0.196721311,,0.023929851,
0.365,33,12,10,49,0.23255814,0.196721311,,0.023929851,
0.366,33,12,10,49,0.23255814,0.196721311,,0.023929851,
0.367,33,12,10,49,0.23255814,0.196721311,,0.023929851,
0.368,33,12,10,49,0.23255814,0.196721311,,0.023929851,
0.369,33,12,10,49,0.23255814,0.196721311,,0.023929851,
0.37,33,12,10,49,0.23255814,0.196721311,,0.023929851,
0.371,33,12,10,49,0.23255814,0.196721311,,0.023929851,
0.372,33,12,10,49,0.23255814,0.196721311,,0.023929851,
0.373,33,12,10,49,0.23255814,0.196721311,,0.023929851,
0.374,33,12,10,49,0.23255814,0.196721311,,0.023929851,
0.375,33,11,10,50,0.23255814,0.180327869,,0.022323294,
0.376,32,11,11,50,0.255813953,0.180327869,,0.02278841,
0.377,32,11,11,50,0.255813953,0.180327869,,0.02278841,
0.378,31,11,12,50,0.279069767,0.180327869,,0.023253526,
0.379,31,11,12,50,0.279069767,0.180327869,,0.023253526,
0.38,31,11,12,50,0.279069767,0.180327869,,0.023253526,
0.381,31,11,12,50,0.279069767,0.180327869,,0.023253526,
0.382,31,11,12,50,0.279069767,0.180327869,,0.023253526,
0.383,31,11,12,50,0.279069767,0.180327869,,0.023253526,
0.384,31,11,12,50,0.279069767,0.180327869,,0.023253526,
0.385,31,10,12,51,0.279069767,0.163934426,,0.021646969,
0.386,31,10,12,51,0.279069767,0.163934426,,0.021646969,
0.387,31,10,12,51,0.279069767,0.163934426,,0.021646969,
0.388,31,10,12,51,0.279069767,0.163934426,,0.021646969,
0.389,31,10,12,51,0.279069767,0.163934426,,0.021646969,
0.39,31,10,12,51,0.279069767,0.163934426,,0.021646969,
0.391,31,10,12,51,0.279069767,0.163934426,,0.021646969,
0.392,31,10,12,51,0.279069767,0.163934426,,0.021646969,
0.393,31,10,12,51,0.279069767,0.163934426,,0.021646969,
0.394,31,9,12,52,0.279069767,0.147540984,,0.020040412,
0.395,30,8,13,53,0.302325581,0.131147541,,0.018898971,
0.396,30,8,13,53,0.302325581,0.131147541,,0.018898971,
0.397,29,8,14,53,0.325581395,0.131147541,,0.019364087,
0.398,29,8,14,53,0.325581395,0.131147541,,0.019364087,
0.399,29,8,14,53,0.325581395,0.131147541,,0.019364087,
0.4,29,8,14,53,0.325581395,0.131147541,,0.019364087,
0.401,28,8,15,53,0.348837209,0.131147541,,0.019829203,
0.402,28,8,15,53,0.348837209,0.131147541,,0.019829203,
0.403,28,8,15,53,0.348837209,0.131147541,,0.019829203,
0.404,28,8,15,53,0.348837209,0.131147541,,0.019829203,
0.405,28,8,15,53,0.348837209,0.131147541,,0.019829203,
0.406,28,8,15,53,0.348837209,0.131147541,,0.019829203,
0.407,28,8,15,53,0.348837209,0.131147541,,0.019829203,
0.408,28,8,15,53,0.348837209,0.131147541,,0.019829203,
0.409,27,8,16,53,0.372093023,0.131147541,,0.020294319,
0.41,27,8,16,53,0.372093023,0.131147541,,0.020294319,
0.411,27,8,16,53,0.372093023,0.131147541,,0.020294319,
0.412,27,8,16,53,0.372093023,0.131147541,,0.020294319,
0.413,27,8,16,53,0.372093023,0.131147541,,0.020294319,
0.414,27,8,16,53,0.372093023,0.131147541,,0.020294319,
0.415,27,8,16,53,0.372093023,0.131147541,,0.020294319,
