theta,true-positive,false-alarm,miss-detection,true-negative,p-miss,p-fa
0.286,43,17,0,44,0.0,0.2786885245901639
0.287,43,17,0,44,0.0,0.2786885245901639
0.288,43,17,0,44,0.0,0.2786885245901639
0.289,43,17,0,44,0.0,0.2786885245901639
0.29,43,17,0,44,0.0,0.2786885245901639
0.291,43,17,0,44,0.0,0.2786885245901639
0.292,43,17,0,44,0.0,0.2786885245901639
0.293,43,17,0,44,0.0,0.2786885245901639
0.294,43,17,0,44,0.0,0.2786885245901639
0.295,43,17,0,44,0.0,0.2786885245901639
0.296,43,17,0,44,0.0,0.2786885245901639
0.297,43,17,0,44,0.0,0.2786885245901639
0.298,43,17,0,44,0.0,0.2786885245901639
0.299,43,17,0,44,0.0,0.2786885245901639
0.3,43,17,0,44,0.0,0.2786885245901639
0.301,43,17,0,44,0.0,0.2786885245901639
0.302,43,17,0,44,0.0,0.2786885245901639
0.303,43,17,0,44,0.0,0.2786885245901639
0.304,43,17,0,44,0.0,0.2786885245901639
0.305,43,17,0,44,0.0,0.2786885245901639
0.306,43,17,0,44,0.0,0.2786885245901639
0.307,43,17,0,44,0.0,0.2786885245901639
0.308,43,17,0,44,0.0,0.2786885245901639
0.309,43,17,0,44,0.0,0.2786885245901639
0.31,43,17,0,44,0.0,0.2786885245901639
0.311,43,17,0,44,0.0,0.2786885245901639
0.312,43,17,0,44,0.0,0.2786885245901639
0.313,43,17,0,44,0.0,0.2786885245901639
0.314,43,17,0,44,0.0,0.2786885245901639
0.315,43,17,0,44,0.0,0.2786885245901639
0.316,43,17,0,44,0.0,0.2786885245901639
0.317,43,17,0,44,0.0,0.2786885245901639
0.318,43,17,0,44,0.0,0.2786885245901639
0.319,43,17,0,44,0.0,0.2786885245901639
0.32,43,17,0,44,0.0,0.2786885245901639
0.321,43,17,0,44,0.0,0.2786885245901639
0.322,43,17,0,44,0.0,0.2786885245901639
0.323,43,17,0,44,0.0,0.2786885245901639
0.324,43,17,0,44,0.0,0.2786885245901639
0.325,43,17,0,44,0.0,0.2786885245901639
0.326,43,17,0,44,0.0,0.2786885245901639
0.327,43,17,0,44,0.0,0.2786885245901639
0.328,43,17,0,44,0.0,0.2786885245901639
0.329,43,17,0,44,0.0,0.2786885245901639
0.33,43,17,0,44,0.0,0.2786885245901639
0.331,43,17,0,44,0.0,0.2786885245901639
0.332,43,17,0,44,0.0,0.2786885245901639
0.333,43,17,0,44,0.0,0.2786885245901639
0.334,43,17,0,44,0.0,0.2786885245901639
0.335,43,17,0,44,0.0,0.2786885245901639
0.336,43,17,0,44,0.0,0.2786885245901639
0.337,43,17,0,44,0.0,0.2786885245901639
0.338,43,17,0,44,0.0,0.2786885245901639
0.339,43,17,0,44,0.0,0.2786885245901639
0.34,43,17,0,44,0.0,0.2786885245901639
0.341,43,17,0,44,0.0,0.2786885245901639
0.342,43,17,0,44,0.0,0.2786885245901639
0.343,43,17,0,44,0.0,0.2786885245901639
0.344,43,17,0,44,0.0,0.2786885245901639
0.345,43,17,0,44,0.0,0.2786885245901639
0.346,43,17,0,44,0.0,0.2786885245901639
0.347,43,17,0,44,0.0,0.2786885245901639
0.348,43,17,0,44,0.0,0.2786885245901639
0.349,43,17,0,44,0.0,0.2786885245901639
0.35,43,17,0,44,0.0,0.2786885245901639
0.351,43,17,0,44,0.0,0.2786885245901639
0.352,43,17,0,44,0.0,0.2786885245901639
0.353,43,17,0,44,0.0,0.2786885245901639
0.354,43,17,0,44,0.0,0.2786885245901639
0.355,43,17,0,44,0.0,0.2786885245901639
0.356,43,17,0,44,0.0,0.2786885245901639
0.357,43,17,0,44,0.0,0.2786885245901639
0.358,43,17,0,44,0.0,0.2786885245901639
0.359,42,17,1,44,0.023255813953488372,0.2786885245901639
0.36,42,17,1,44,0.023255813953488372,0.2786885245901639
0.361,42,17,1,44,0.023255813953488372,0.2786885245901639
0.362,42,17,1,44,0.023255813953488372,0.2786885245901639
0.363,42,17,1,44,0.023255813953488372,0.2786885245901639
0.364,42,17,1,44,0.023255813953488372,0.2786885245901639
0.365,42,17,1,44,0.023255813953488372,0.2786885245901639
0.366,42,17,1,44,0.023255813953488372,0.2786885245901639
0.367,42,17,1,44,0.023255813953488372,0.2786885245901639
0.368,42,17,1,44,0.023255813953488372,0.2786885245901639
0.369,42,17,1,44,0.023255813953488372,0.2786885245901639
0.37,42,17,1,44,0.023255813953488372,0.2786885245901639
0.371,42,17,1,44,0.023255813953488372,0.2786885245901639
0.372,42,17,1,44,0.023255813953488372,0.2786885245901639
0.373,42,17,1,44,0.023255813953488372,0.2786885245901639
0.374,42,17,1,44,0.023255813953488372,0.2786885245901639
0.375,42,17,1,44,0.023255813953488372,0.2786885245901639
0.376,42,17,1,44,0.023255813953488372,0.2786885245901639
0.377,42,17,1,44,0.023255813953488372,0.2786885245901639
0.378,42,17,1,44,0.023255813953488372,0.2786885245901639
0.379,42,17,1,44,0.023255813953488372,0.2786885245901639
0.38,42,17,1,44,0.023255813953488372,0.2786885245901639
0.381,42,17,1,44,0.023255813953488372,0.2786885245901639
0.382,42,17,1,44,0.023255813953488372,0.2786885245901639
0.383,42,17,1,44,0.023255813953488372,0.2786885245901639
0.384,42,17,1,44,0.023255813953488372,0.2786885245901639
