theta,true-positive,false-alarm,miss-detection,true-negative,p-miss,p-fa,costDet
0.07,43,30,0,31,0.0,0.4918032786885246,0.048196721311475406
0.071,43,30,0,31,0.0,0.4918032786885246,0.048196721311475406
0.072,43,30,0,31,0.0,0.4918032786885246,0.048196721311475406
0.073,43,30,0,31,0.0,0.4918032786885246,0.048196721311475406
0.074,43,30,0,31,0.0,0.4918032786885246,0.048196721311475406
0.075,43,29,0,32,0.0,0.47540983606557374,0.04659016393442623
0.076,43,29,0,32,0.0,0.47540983606557374,0.04659016393442623
0.077,43,28,0,33,0.0,0.45901639344262296,0.04498360655737706
0.078,43,28,0,33,0.0,0.45901639344262296,0.04498360655737706
0.079,43,28,0,33,0.0,0.45901639344262296,0.04498360655737706
0.08,43,28,0,33,0.0,0.45901639344262296,0.04498360655737706
0.081,43,28,0,33,0.0,0.45901639344262296,0.04498360655737706
0.082,43,28,0,33,0.0,0.45901639344262296,0.04498360655737706
0.083,43,27,0,34,0.0,0.4426229508196721,0.04337704918032787
0.084,43,27,0,34,0.0,0.4426229508196721,0.04337704918032787
0.085,43,27,0,34,0.0,0.4426229508196721,0.04337704918032787
0.086,43,26,0,35,0.0,0.4262295081967213,0.041770491803278686
0.087,43,26,0,35,0.0,0.4262295081967213,0.041770491803278686
0.088,43,26,0,35,0.0,0.4262295081967213,0.041770491803278686
0.089,43,26,0,35,0.0,0.4262295081967213,0.041770491803278686
0.09,43,26,0,35,0.0,0.4262295081967213,0.041770491803278686
0.091,43,26,0,35,0.0,0.4262295081967213,0.041770491803278686
0.092,43,26,0,35,0.0,0.4262295081967213,0.041770491803278686
0.093,43,26,0,35,0.0,0.4262295081967213,0.041770491803278686
0.094,43,25,0,36,0.0,0.4098360655737705,0.04016393442622951
0.095,43,25,0,36,0.0,0.4098360655737705,0.04016393442622951
0.096,43,25,0,36,0.0,0.4098360655737705,0.04016393442622951
0.097,43,25,0,36,0.0,0.4098360655737705,0.04016393442622951
0.098,43,25,0,36,0.0,0.4098360655737705,0.04016393442622951
0.099,43,23,0,38,0.0,0.3770491803278688,0.03695081967213115
0.1,43,23,0,38,0.0,0.3770491803278688,0.03695081967213115
0.101,43,23,0,38,0.0,0.3770491803278688,0.03695081967213115
0.102,43,23,0,38,0.0,0.3770491803278688,0.03695081967213115
0.103,43,23,0,38,0.0,0.3770491803278688,0.03695081967213115
0.104,43,23,0,38,0.0,0.3770491803278688,0.03695081967213115
0.105,43,23,0,38,0.0,0.3770491803278688,0.03695081967213115
0.106,43,23,0,38,0.0,0.3770491803278688,0.03695081967213115
0.107,43,23,0,38,0.0,0.3770491803278688,0.03695081967213115
0.108,43,23,0,38,0.0,0.3770491803278688,0.03695081967213115
0.109,43,23,0,38,0.0,0.3770491803278688,0.03695081967213115
0.11,43,22,0,39,0.0,0.36065573770491804,0.03534426229508197
0.111,43,22,0,39,0.0,0.36065573770491804,0.03534426229508197
0.112,43,22,0,39,0.0,0.36065573770491804,0.03534426229508197
0.113,43,22,0,39,0.0,0.36065573770491804,0.03534426229508197
0.114,43,21,0,40,0.0,0.3442622950819672,0.03373770491803279
0.115,43,21,0,40,0.0,0.3442622950819672,0.03373770491803279
0.116,43,21,0,40,0.0,0.3442622950819672,0.03373770491803279
0.117,43,21,0,40,0.0,0.3442622950819672,0.03373770491803279
0.118,43,21,0,40,0.0,0.3442622950819672,0.03373770491803279
0.119,43,21,0,40,0.0,0.3442622950819672,0.03373770491803279
0.12,43,21,0,40,0.0,0.3442622950819672,0.03373770491803279
0.121,43,21,0,40,0.0,0.3442622950819672,0.03373770491803279
0.122,43,21,0,40,0.0,0.3442622950819672,0.03373770491803279
0.123,43,21,0,40,0.0,0.3442622950819672,0.03373770491803279
0.124,43,21,0,40,0.0,0.3442622950819672,0.03373770491803279
0.125,43,21,0,40,0.0,0.3442622950819672,0.03373770491803279
0.126,43,21,0,40,0.0,0.3442622950819672,0.03373770491803279
0.127,43,21,0,40,0.0,0.3442622950819672,0.03373770491803279
0.128,43,21,0,40,0.0,0.3442622950819672,0.03373770491803279
0.129,43,21,0,40,0.0,0.3442622950819672,0.03373770491803279
0.13,43,21,0,40,0.0,0.3442622950819672,0.03373770491803279
0.131,43,21,0,40,0.0,0.3442622950819672,0.03373770491803279
0.132,43,21,0,40,0.0,0.3442622950819672,0.03373770491803279
0.133,43,21,0,40,0.0,0.3442622950819672,0.03373770491803279
0.134,43,21,0,40,0.0,0.3442622950819672,0.03373770491803279
0.135,43,21,0,40,0.0,0.3442622950819672,0.03373770491803279
0.136,43,21,0,40,0.0,0.3442622950819672,0.03373770491803279
0.137,43,21,0,40,0.0,0.3442622950819672,0.03373770491803279
0.138,43,21,0,40,0.0,0.3442622950819672,0.03373770491803279
0.139,43,21,0,40,0.0,0.3442622950819672,0.03373770491803279
0.14,43,21,0,40,0.0,0.3442622950819672,0.03373770491803279
0.141,43,21,0,40,0.0,0.3442622950819672,0.03373770491803279
0.142,43,21,0,40,0.0,0.3442622950819672,0.03373770491803279
0.143,43,21,0,40,0.0,0.3442622950819672,0.03373770491803279
0.144,43,21,0,40,0.0,0.3442622950819672,0.03373770491803279
0.145,43,21,0,40,0.0,0.3442622950819672,0.03373770491803279
0.146,43,21,0,40,0.0,0.3442622950819672,0.03373770491803279
0.147,43,20,0,41,0.0,0.32786885245901637,0.03213114754098361
0.148,43,20,0,41,0.0,0.32786885245901637,0.03213114754098361
0.149,43,20,0,41,0.0,0.32786885245901637,0.03213114754098361
0.15,43,20,0,41,0.0,0.32786885245901637,0.03213114754098361
0.151,43,20,0,41,0.0,0.32786885245901637,0.03213114754098361
0.152,43,20,0,41,0.0,0.32786885245901637,0.03213114754098361
0.153,43,20,0,41,0.0,0.32786885245901637,0.03213114754098361
0.154,43,20,0,41,0.0,0.32786885245901637,0.03213114754098361
0.155,43,20,0,41,0.0,0.32786885245901637,0.03213114754098361
0.156,43,20,0,41,0.0,0.32786885245901637,0.03213114754098361
0.157,43,20,0,41,0.0,0.32786885245901637,0.03213114754098361
0.158,43,20,0,41,0.0,0.32786885245901637,0.03213114754098361
0.159,43,20,0,41,0.0,0.32786885245901637,0.03213114754098361
0.16,43,20,0,41,0.0,0.32786885245901637,0.03213114754098361
0.161,43,20,0,41,0.0,0.32786885245901637,0.03213114754098361
0.162,43,20,0,41,0.0,0.32786885245901637,0.03213114754098361
0.163,43,20,0,41,0.0,0.32786885245901637,0.03213114754098361
0.164,43,20,0,41,0.0,0.32786885245901637,0.03213114754098361
0.165,43,19,0,42,0.0,0.3114754098360656,0.030524590163934426
0.166,43,19,0,42,0.0,0.3114754098360656,0.030524590163934426
0.167,43,19,0,42,0.0,0.3114754098360656,0.030524590163934426
0.168,43,19,0,42,0.0,0.3114754098360656,0.030524590163934426
0.169,43,19,0,42,0.0,0.3114754098360656,0.030524590163934426
0.17,43,19,0,42,0.0,0.3114754098360656,0.030524590163934426
0.171,43,19,0,42,0.0,0.3114754098360656,0.030524590163934426
0.172,43,19,0,42,0.0,0.3114754098360656,0.030524590163934426
0.173,43,19,0,42,0.0,0.3114754098360656,0.030524590163934426
0.174,43,19,0,42,0.0,0.3114754098360656,0.030524590163934426
0.175,43,19,0,42,0.0,0.3114754098360656,0.030524590163934426
0.176,43,19,0,42,0.0,0.3114754098360656,0.030524590163934426
0.177,43,19,0,42,0.0,0.3114754098360656,0.030524590163934426
0.178,43,19,0,42,0.0,0.3114754098360656,0.030524590163934426
0.179,43,19,0,42,0.0,0.3114754098360656,0.030524590163934426
0.18,43,19,0,42,0.0,0.3114754098360656,0.030524590163934426
0.181,43,19,0,42,0.0,0.3114754098360656,0.030524590163934426
0.182,43,19,0,42,0.0,0.3114754098360656,0.030524590163934426
0.183,43,19,0,42,0.0,0.3114754098360656,0.030524590163934426
0.184,43,19,0,42,0.0,0.3114754098360656,0.030524590163934426
0.185,43,19,0,42,0.0,0.3114754098360656,0.030524590163934426
0.186,43,19,0,42,0.0,0.3114754098360656,0.030524590163934426
0.187,43,19,0,42,0.0,0.3114754098360656,0.030524590163934426
0.188,43,19,0,42,0.0,0.3114754098360656,0.030524590163934426
0.189,43,19,0,42,0.0,0.3114754098360656,0.030524590163934426
0.19,43,19,0,42,0.0,0.3114754098360656,0.030524590163934426
0.191,43,19,0,42,0.0,0.3114754098360656,0.030524590163934426
0.192,43,19,0,42,0.0,0.3114754098360656,0.030524590163934426
0.193,43,19,0,42,0.0,0.3114754098360656,0.030524590163934426
0.194,43,19,0,42,0.0,0.3114754098360656,0.030524590163934426
0.195,43,19,0,42,0.0,0.3114754098360656,0.030524590163934426
0.196,43,19,0,42,0.0,0.3114754098360656,0.030524590163934426
0.197,43,19,0,42,0.0,0.3114754098360656,0.030524590163934426
