theta,true-positive,false-alarm,miss-detection,true-negative,p-miss,p-fa
0.365,33,26,1,44,0.029411765,0.371428571
0.366,33,26,1,44,0.029411765,0.371428571
0.367,33,26,1,44,0.029411765,0.371428571
0.368,33,26,1,44,0.029411765,0.371428571
0.369,33,26,1,44,0.029411765,0.371428571
0.37,33,26,1,44,0.029411765,0.371428571
0.371,33,26,1,44,0.029411765,0.371428571
0.372,33,26,1,44,0.029411765,0.371428571
0.373,33,26,1,44,0.029411765,0.371428571
0.374,33,26,1,44,0.029411765,0.371428571
0.375,33,26,1,44,0.029411765,0.371428571
0.376,33,26,1,44,0.029411765,0.371428571
0.377,33,26,1,44,0.029411765,0.371428571
0.378,33,26,1,44,0.029411765,0.371428571
0.379,33,26,1,44,0.029411765,0.371428571
0.38,33,26,1,44,0.029411765,0.371428571
0.381,33,26,1,44,0.029411765,0.371428571
0.382,33,26,1,44,0.029411765,0.371428571
0.383,33,26,1,44,0.029411765,0.371428571
0.384,33,26,1,44,0.029411765,0.371428571
0.385,33,26,1,44,0.029411765,0.371428571
0.386,33,26,1,44,0.029411765,0.371428571
0.387,33,26,1,44,0.029411765,0.371428571
0.388,33,26,1,44,0.029411765,0.371428571
0.389,33,26,1,44,0.029411765,0.371428571
0.39,33,26,1,44,0.029411765,0.371428571
0.391,33,26,1,44,0.029411765,0.371428571
0.392,33,26,1,44,0.029411765,0.371428571
0.393,33,26,1,44,0.029411765,0.371428571
0.394,33,26,1,44,0.029411765,0.371428571
0.395,33,26,1,44,0.029411765,0.371428571
0.396,33,25,1,45,0.029411765,0.357142857
0.397,33,24,1,46,0.029411765,0.342857143
0.398,33,24,1,46,0.029411765,0.342857143
0.399,33,24,1,46,0.029411765,0.342857143
0.4,33,24,1,46,0.029411765,0.342857143
0.401,33,24,1,46,0.029411765,0.342857143
0.402,33,24,1,46,0.029411765,0.342857143
0.403,33,24,1,46,0.029411765,0.342857143
0.404,33,24,1,46,0.029411765,0.342857143
0.405,33,24,1,46,0.029411765,0.342857143
0.406,33,24,1,46,0.029411765,0.342857143
0.407,33,24,1,46,0.029411765,0.342857143
0.408,33,24,1,46,0.029411765,0.342857143
0.409,33,23,1,47,0.029411765,0.328571429
0.41,33,23,1,47,0.029411765,0.328571429
0.411,33,23,1,47,0.029411765,0.328571429
0.412,33,23,1,47,0.029411765,0.328571429
0.413,33,23,1,47,0.029411765,0.328571429
0.414,33,23,1,47,0.029411765,0.328571429
0.415,33,23,1,47,0.029411765,0.328571429
0.416,33,23,1,47,0.029411765,0.328571429
0.417,33,23,1,47,0.029411765,0.328571429
0.418,32,23,2,47,0.058823529,0.328571429
0.419,32,23,2,47,0.058823529,0.328571429
0.42,32,22,2,48,0.058823529,0.314285714
0.421,32,22,2,48,0.058823529,0.314285714
0.422,32,22,2,48,0.058823529,0.314285714
0.423,32,22,2,48,0.058823529,0.314285714
0.424,32,22,2,48,0.058823529,0.314285714
