fardanews-104374	fardanews-104298	0
fardanews-104374	tabnak-87430	0
fardanews-104374	tabnak-87427	0
fardanews-104374	fardanews-104310	0
fardanews-104374	fardanews-104312	0
fardanews-104374	fardanews-104327	0
fardanews-104374	tabnak-87481	0
fardanews-104374	fardanews-104350	0
fardanews-104374	fardanews-104355	0
fardanews-104374	fardanews-104359	0
fardanews-104374	fardanews-104364	0
fardanews-104378	tabnak-87270	0
fardanews-104378	fardanews-104223	0
fardanews-104378	tabnak-87281	0
fardanews-104378	tabnak-87332	0
fardanews-104378	fardanews-104271	0
fardanews-104378	tabnak-87369	0
fardanews-104378	tabnak-87379	0
fardanews-104378	tabnak-87398	0
fardanews-104378	tabnak-87405	0
fardanews-104378	fardanews-104296	0
fardanews-104378	fardanews-104298	0
fardanews-104378	tabnak-87430	0
fardanews-104378	tabnak-87427	0
fardanews-104378	fardanews-104310	0
fardanews-104378	fardanews-104312	0
fardanews-104378	fardanews-104327	0
fardanews-104378	tabnak-87481	0
fardanews-104378	fardanews-104350	0
fardanews-104378	fardanews-104355	0
fardanews-104378	fardanews-104359	0
fardanews-104378	fardanews-104364	0
fardanews-104378	fardanews-104374	0
tabnak-87502	tabnak-87270	37.5434
tabnak-87502	fardanews-104223	41.6123
tabnak-87502	tabnak-87281	46.3261
tabnak-87502	tabnak-87332	40.0108
tabnak-87502	fardanews-104271	-nan
tabnak-87502	tabnak-87369	-nan
tabnak-87502	tabnak-87379	44.3457
tabnak-87502	tabnak-87398	44.2804
tabnak-87502	tabnak-87405	51.4487
tabnak-87502	fardanews-104296	52.4109
tabnak-87502	fardanews-104298	-nan
tabnak-87502	tabnak-87430	-nan
tabnak-87502	tabnak-87427	49.0396
tabnak-87502	fardanews-104310	-nan
tabnak-87502	fardanews-104312	49.1135
tabnak-87502	fardanews-104327	-nan
tabnak-87502	tabnak-87481	51.6121
tabnak-87502	fardanews-104350	53.947
tabnak-87502	fardanews-104355	-nan
tabnak-87502	fardanews-104359	-nan
tabnak-87502	fardanews-104364	-nan
tabnak-87502	fardanews-104374	-nan
tabnak-87502	fardanews-104378	-nan
fardanews-104380	tabnak-87270	0
fardanews-104380	fardanews-104223	0
fardanews-104380	tabnak-87281	0
fardanews-104380	tabnak-87332	0
fardanews-104380	fardanews-104271	0
fardanews-104380	tabnak-87369	0
fardanews-104380	tabnak-87379	0
fardanews-104380	tabnak-87398	0
fardanews-104380	tabnak-87405	0
fardanews-104380	fardanews-104296	0
fardanews-104380	fardanews-104298	0
fardanews-104380	tabnak-87430	0
fardanews-104380	tabnak-87427	0
fardanews-104380	fardanews-104310	0
fardanews-104380	fardanews-104312	0
fardanews-104380	fardanews-104327	0
fardanews-104380	tabnak-87481	0
fardanews-104380	fardanews-104350	0
fardanews-104380	fardanews-104355	0
fardanews-104380	fardanews-104359	0
fardanews-104380	fardanews-104364	0
fardanews-104380	fardanews-104374	0
fardanews-104380	fardanews-104378	0
fardanews-104380	tabnak-87502	0
tabnak-87522	tabnak-87270	0
tabnak-87522	fardanews-104223	0
tabnak-87522	tabnak-87281	0
tabnak-87522	tabnak-87332	0
tabnak-87522	fardanews-104271	0
tabnak-87522	tabnak-87369	0
tabnak-87522	tabnak-87379	0
tabnak-87522	tabnak-87398	0
