c.comment,TF.IDF,KhabarGozaryMatch,TimeDiff,NE,KeyWordOverLap(0-25),WMD,tag,WMD2,SOFTCOS,,TF.IDF,WMD
51,0.339555115,0,4902240,0.575408316,6,3.255558846,old,17.93103212,0.605644811,,new,new
0,1,0,15840,1,25,0,old,0,1,,old,old
5,0.580010208,0,1218600,0.613440646,11,2.375055385,old,11.90166464,0.82756014,,old,old
26,0.176267968,0,95640,0.630299157,1,4.042886887,new,20.59355224,0.434237619,,new,new
0,0.34619213,0,5447760,0.53412086,3,3.19829918,old,17.42080993,0.594390117,,new,new
248,0.582292832,1,126900,0.387840577,8,2.316295917,new,12.61620728,0.761296874,,old,old
15,0.397132909,1,140940,0.396629668,7,2.950683027,old,15.44612647,0.686758979,,new,new
1,0.309154135,0,168300,0.47016834,5,3.457040771,old,19.53891562,0.583539103,,new,new
0,0.901445479,0,2040,1,22,0.733712303,old,3.981819793,0.965498473,,old,old
0,0.952099727,1,2820,1,20,0.771842136,old,4.332267922,0.968571575,,old,old
0,1,0,5280,1,25,0,old,0,1,,old,old
521,0.504399282,0,6720,0.470850003,8,2.884002581,new,16.0743623,0.725950444,,new,new
159,0.207238025,0,455100,0.482217529,3,3.704226394,new,19.49405086,0.552556409,,new,new
2,0.923631872,0,5220,1,20,0.370620911,old,2.237180699,0.972383625,,old,old
0,1,0,9480,1,25,0,old,0,1,,old,old
6,1,1,46200,1,25,0,old,0,1,,old,old
0,1,0,56460,1,25,0,old,0,1,,old,old
19,0.298544,1,57660,0.517946068,5,3.21248919,new,16.57805921,0.678266082,,new,new
0,1,0,13140,1,25,0,old,0,1,,old,old
